,epoch,valid_acc,train_acc,valid_loss,train_loss,average time per epoch (from 0 to early stopping)
0,0,0.563920455,0.457880437,1.109143046,1.247682657,5156.44/18 = 286.46
1,1,0.715909091,0.68685019,0.726416011,0.822067488,
2,2,0.875,0.821006656,0.3782703,0.517095718,
3,3,0.90625,0.885337949,0.272468862,0.33001033,
4,4,0.914772727,0.905836523,0.247374885,0.264387928,
5,5,0.875473485,0.874291122,0.353192157,0.353854121,
6,6,0.885890152,0.889886618,0.315903504,0.303849813,
7,7,0.923295455,0.911271274,0.221674193,0.248672323,
8,8,0.909090909,0.920959353,0.259711386,0.222076881,
9,9,0.885416667,0.919423461,0.31376102,0.227022782,
10,10,0.927556818,0.925626218,0.206942689,0.206478179,
11,11,0.935132576,0.933364868,0.187364579,0.187248483,
12,12,0.939393939,0.937736332,0.178554468,0.172134893,
13,13,0.938920455,0.941339791,0.181297441,0.160548373,
14,14,0.940340909,0.94813329,0.165241311,0.149772627,
15,15,0.927556818,0.948487759,0.214773555,0.140867165,
16,16,0.924715909,0.951086998,0.224354034,0.1398424,
17,17,0.947443182,0.95037812,0.163652555,0.134925997,
18,18,0.528409091,0.765536427,1.147017912,0.551098005,
19,19,0.570075758,0.561791122,1.023917201,1.070621152,
20,20,0.575284091,0.531840742,1.031035277,1.107033452,
21,21,0.665246212,0.626181483,0.851791564,0.930434234,
22,22,0.605113636,0.674503803,0.979043393,0.812956421,
23,23,0.682765152,0.701500475,0.783006046,0.744455676,
24,24,0.511837121,0.688681483,1.127842775,0.76516673,
25,25,0.567234848,0.590323746,1.057969072,0.990813575,
26,26,0.677083333,0.646916389,0.798139509,0.88724375,
27,27,0.534090909,0.586779296,1.081936439,0.990396889,
28,28,0.615530303,0.59310019,0.93833269,0.98578021,
29,29,0.630208333,0.637287378,0.901108776,0.892210209,
30,30,0.646780303,0.643135667,0.892088113,0.881982621,
31,31,0.579545455,0.617793024,1.047501713,0.94454651,
32,32,0.585227273,0.603260875,1.020038253,0.989097555,
33,33,0.589488636,0.592155039,0.98632642,1.005352877,
34,34,0.597537879,0.614780247,0.977000619,0.952459119,
35,35,0.627840909,0.628249049,0.878389811,0.890663268,
36,36,0.652462121,0.652173936,0.834783539,0.849074029,
37,37,0.643939394,0.67397213,0.847988325,0.795517668,
38,38,0.75,1,0.732538839,0.090492231,
39,39,0.708333333,1,0.792290991,0.081832229,
